,title,published,view_count,like_count,dislike_count,comment_count,title_length,reactions
0,"Protect The Lamborghini, Keep It!",2024-03-16T16:00:00Z,6749859,914733,0,41062,33,955795
1,I Survived 7 Days In An Abandoned City,2024-03-02T17:00:00Z,135090442,4933077,0,194719,38,5127796
2,Unboxing My 200M Subscriber Play Button,2024-02-29T17:00:00Z,76723681,6396829,0,29972,39,6426801
3,I Filled Chandler’s Car With Feastables,2024-02-27T18:00:01Z,83609985,5220483,0,12479,39,5232962
4,"Buy Feastables, Win $10,000",2024-02-17T19:00:01Z,106676025,6876682,0,15900,27,6892582
5,"Face Your Biggest Fear To Win $800,000",2024-02-10T17:00:00Z,167812628,5062765,0,226318,38,5289083
6,"$1 vs $250,000,000 Private Island!",2024-01-27T17:00:00Z,153947225,4685842,0,101351,34,4787193
7,"Protect $500,000 Keep It!",2024-01-13T17:00:00Z,118871707,4206264,0,76376,25,4282640
8,I Spent 7 Days In Solitary Confinement,2023-12-30T17:00:03Z,137233935,4399086,0,81262,38,4480348
9,I Rescued 100 Abandoned Dogs!,2023-12-23T17:00:00Z,140017126,5110749,0,96399,29,5207148
10,"Survive 100 Days Trapped, Win $500,000",2023-12-16T17:00:01Z,197364541,5220026,0,85827,38,5305853
11,"Feeding A Dog $1 vs $10,000 Steak",2023-12-14T18:00:00Z,188840952,8247984,0,23458,33,8271442
12,Could You Walk Up A Skyscraper?,2023-12-05T18:00:00Z,114290811,7185850,0,17929,31,7203779
13,"$10,000 Every Day You Survive In A Grocery Store",2023-12-02T17:00:00Z,211721643,5391562,0,76621,48,5468183
14,"$1 vs $10,000,000 Job!",2023-11-25T17:00:00Z,152414553,4067734,0,64671,22,4132405
15,I Spent 7 Days Buried Alive,2023-11-18T17:00:01Z,150673045,6111024,0,112288,27,6223312
16,I Gave Away A House On Halloween,2023-11-10T18:00:00Z,167813628,8704707,0,26177,32,8730884
17,Giving Car Keys Instead Of Candy On Halloween,2023-11-09T18:00:00Z,178422362,6964996,0,11295,45,6976291
18,I Built 100 Wells In Africa,2023-11-04T16:00:00Z,162912298,9523034,0,215007,27,9738041
19,"Furthest Away From Me Wins $10,000",2023-11-02T17:00:03Z,256244716,11252927,0,23980,34,11276907
20,World’s Most Expensive Bed,2023-10-31T17:00:01Z,197640507,11777072,0,22510,26,11799582
21,World’s Deadliest Laser Maze!,2023-10-28T15:59:59Z,165311957,4188124,0,86843,29,4274967
22,World’s Most Expensive Coffee,2023-10-19T17:00:03Z,132596511,7186465,0,21837,29,7208302
23,"$100,000,000 Bathroom",2023-10-17T17:00:00Z,169206298,8121208,0,16092,21,8137300
24,"$1 vs $100,000,000 House!",2023-10-14T16:00:00Z,197123412,5173086,0,134662,25,5307748
25,I Tipped A Pizza Delivery Driver A Car,2023-10-12T17:30:03Z,267662666,14776694,0,21897,38,14798591
26,World's Most Dangerous Trap!,2023-10-07T16:00:00Z,215131222,6036209,0,159182,28,6195391
27,I NEED 1 MORE 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘𝗥,2023-10-05T17:00:01Z,346609098,25145246,0,75664,24,25220910
28,"Guess The Gift, Keep It",2023-10-03T17:00:00Z,434861746,15891383,0,14377,23,15905760
29,"Spot The Hidden People For $10,000",2023-09-28T17:00:01Z,442095862,15885755,0,20026,34,15905781
30,I Paid A Random Student’s College Tuition,2023-09-26T16:59:59Z,223579144,14735830,0,30771,41,14766601
31,"$100,000,000 Car Doors",2023-09-19T17:00:00Z,479533531,16976044,0,23165,22,16999209
32,"$1 vs $100,000,000 Car!",2023-09-16T16:00:01Z,254604730,6331661,0,150489,23,6482150
33,Extreme Home Makeover!,2023-09-12T17:00:00Z,198894311,12785646,0,32521,22,12818167
34,Katana Vs Bullet,2023-09-07T17:00:01Z,584012244,25521784,0,35960,16,25557744
35,How Many School Buses Can We Stack?,2023-09-05T16:59:57Z,277206370,10984792,0,24191,35,11008983
36,Lamborghini Vs World's Largest Shredder,2023-09-02T16:00:00Z,170099053,5170884,0,151052,39,5321936
37,"Make This Kick, Win Super Bowl Tickets",2023-08-25T16:00:25Z,92990760,4052100,0,8477,38,4060577
38,Metal Pipe Vs School Bus,2023-08-22T17:00:00Z,298262767,10081794,0,23544,24,10105338
39,"Every Country On Earth Fights For $250,000!",2023-08-19T16:00:01Z,174567532,5807421,0,363013,43,6170434
40,Can You Beat A Girl In Arm Wrestling?,2023-08-17T17:00:00Z,285933310,13583074,0,29578,37,13612652
41,"$1 vs $250,000 Vacation!",2023-08-12T15:59:59Z,245343528,5900432,0,111272,24,6011704
42,I Ate The World’s Most Poisonous Fish,2023-08-08T17:30:01Z,343199565,16276082,0,33687,37,16309769
43,7 Days Stranded At Sea,2023-08-05T16:00:01Z,247369883,6979269,0,123757,22,7103026
44,I Traded My Car At a Red Light,2023-07-15T17:00:01Z,342996347,16635560,0,28179,30,16663739
45,Train Vs Giant Pit,2023-07-08T16:00:00Z,200692031,6096206,0,137846,18,6234052
46,I Buried Treasure in the Bermuda Triangle,2023-07-06T17:00:01Z,242956989,15889245,0,25290,41,15914535
47,"$1 vs $1,000,000,000 Yacht!",2023-06-10T16:00:00Z,312486060,6769668,0,154365,27,6924033
48,Do Pawnshops Scam You?,2023-06-03T16:59:57Z,217803893,10818469,0,20327,22,10838796
49,"Ages 1 - 100 Fight For $500,000",2023-05-27T21:14:59Z,349639337,6281171,0,122238,31,6403409
50,"1,000 Deaf People Hear For The First Time",2023-05-06T19:59:59Z,148922576,5246037,0,161764,41,5407801
51,Would You Pet a Cheetah in Africa?,2023-05-01T20:00:02Z,464768644,19573857,0,42900,34,19616757
52,Tipping A Waitress A Car,2023-04-22T20:00:00Z,340332265,18974711,0,45061,24,19019772
53,Would you go on a Blind Date in Italy?,2023-04-15T20:00:01Z,328625282,16904607,0,22417,38,16927024
54,"$1 vs $500,000 Plane Ticket!",2023-04-01T20:00:04Z,355857943,7483687,0,169527,28,7653214
55,I Sent a Subscriber to Disneyland,2023-03-30T20:00:00Z,401561944,21962354,0,60238,33,22022592
56,I Paid A Real Assassin To Try To Kill Me,2023-03-18T20:00:01Z,255675593,5865528,0,112979,40,5978507
57,Do Men Lie About Their Height?,2023-02-14T21:00:14Z,331297452,16310803,0,25224,30,16336027
58,"1,000 Blind People See For The First Time",2023-01-28T21:00:00Z,175081957,10229440,0,400630,41,10630070
59,I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,184165011,5241098,0,151488,33,5392586
60,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,221599005,5598937,0,132190,30,5731127
61,Would You Fly To Paris For A Baguette?,2022-12-08T20:12:27Z,1131742141,46329721,0,102631,38,46432352
62,"100 Kids Vs 100 Adults For $500,000",2022-12-03T21:00:00Z,239647978,4376690,0,96357,35,4473047
63,Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19T20:59:59Z,443229634,21470061,0,38418,49,21508479
64,"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,164398006,4236050,0,104729,36,4340779
65,Giving iPhones Instead Of Candy on Halloween,2022-11-02T21:00:01Z,1110384665,33334623,0,122187,44,33456810
66,"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,336764466,6960482,0,117882,28,7078364
67,"The Rock Vs MrBeast For $100,000",2022-10-21T20:00:06Z,512713593,29747933,0,70121,32,29818054
68,"Survive 100 Days In Circle, Win $500,000",2022-09-24T19:59:59Z,284473515,5673498,0,100971,40,5774469
69,I Hunted 100 People!,2022-09-03T19:59:59Z,157349153,3599792,0,68230,20,3668022
70,I Survived A Plane Crash,2022-08-20T20:00:00Z,180021713,3930755,0,78294,24,4009049
71,"I Gave My 100,000,000th Subscriber An Island",2022-08-04T19:59:59Z,203182967,6633486,0,236132,44,6869618
72,"100 Boys Vs 100 Girls For $500,000",2022-07-23T20:00:09Z,197410706,4587288,0,143305,34,4730593
73,I Didn’t Eat Food For 30 Days,2022-07-02T20:00:02Z,105975545,3937036,0,110894,29,4047930
74,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,288579483,6517178,0,165119,40,6682297
75,"$10,000 Every Day You Survive Prison",2022-04-09T20:00:00Z,204930348,5264171,0,133710,36,5397881
76,"Would You Swim With Sharks For $100,000?",2022-03-19T20:02:32Z,182397262,4072764,0,91380,40,4164144
77,World’s Most Dangerous Escape Room!,2022-01-29T21:00:01Z,256114172,5451832,0,136429,35,5588261
78,"Extreme $1,000,000 Hide And Seek",2021-12-18T21:00:00Z,101178517,3607699,0,124999,32,3732698
79,"$1,000,000 Influencer Tournament!",2021-12-16T21:00:00Z,87177561,3109220,0,88416,33,3197636
80,I Got Hunted By The Military,2021-12-10T21:30:02Z,209719384,4552322,0,96668,28,4648990
81,"$456,000 Squid Game In Real Life!",2021-11-24T21:00:01Z,587752210,17749202,0,623838,33,18373040
82,I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29T19:59:43Z,117883454,5512221,0,174557,46,5686778
83,"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23T20:00:01Z,169973226,4589365,0,130497,43,4719862
84,"First To Rob Bank Wins $100,000",2021-09-26T20:00:06Z,179089267,4305752,0,120759,31,4426511
85,"Extreme $500,000 Game Of Tag!",2021-09-04T20:00:07Z,167916105,4508466,0,100458,29,4608924
86,"Last To Leave Circle Wins $500,000",2021-08-31T20:01:03Z,415972430,6939915,0,123671,34,7063586
87,I Got Hunted By The FBI,2021-08-07T23:00:03Z,203507943,4458616,0,96556,23,4555172
88,"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,188027125,3681224,0,79353,40,3760577
89,"Would YOU Quit School For $100,000?",2021-07-10T20:00:09Z,164724207,3495357,0,85319,35,3580676
90,I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,237940221,4072564,0,101298,48,4173862
91,"Hit The Target, Win $300,000",2021-06-12T20:00:01Z,179547435,3632086,0,83582,28,3715668
92,Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01T20:00:02Z,213696551,3380620,0,85713,49,3466333
93,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,195937281,4130741,0,125960,36,4256701
94,"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,209568684,3798633,0,120458,29,3919091
95,"Would You Sit In Snakes For $10,000?",2021-04-10T21:00:07Z,303083201,5422086,0,143439,36,5565525
96,"I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03T20:00:01Z,235042111,5164013,0,177589,52,5341602
97,I Spent 50 Hours Buried Alive,2021-03-27T20:00:04Z,316094948,8293523,0,253008,29,8546531
98,"Offering People $100,000 To Quit Their Job",2021-03-13T21:00:02Z,139524017,3368253,0,116177,42,3484430
99,I Sold My House For $1,2021-03-06T21:00:02Z,156082984,3845735,0,117648,22,3963383
100,"I Donated $300,000 To People In Need",2021-02-13T21:00:01Z,55468314,3040931,0,150424,36,3191355
101,"I Ate $100,000 Golden Ice Cream",2021-01-22T21:00:03Z,258412326,5840931,0,177115,31,6018046
102,I Bought Everything In 5 Stores,2021-01-09T21:01:25Z,170254440,5458404,0,194316,31,5652720
103,"Youtube Rewind 2020, Thank God It's Over",2021-01-01T21:00:03Z,70972861,5055693,0,285879,40,5341572
104,"I Put 1,000,000,000 Christmas Lights On A House (World Record)",2020-12-23T21:00:06Z,112357193,2897626,0,109567,62,3007193
105,I Opened A Restaurant That Pays You To Eat At It,2020-12-19T22:00:03Z,181941196,5053211,0,742610,48,5795821
106,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15T21:00:11Z,202540189,6622268,0,187173,55,6809441
107,"Steal This $100,000 Diamond, You Keep It",2020-11-28T21:00:04Z,207741604,3600992,0,96018,40,3697010
108,"Press This Button To Win $100,000!",2020-11-14T21:00:02Z,299128205,4482642,0,92102,34,4574744
109,I Survived 24 Hours Straight In Ice,2020-10-29T20:17:44Z,157347281,4032199,0,196946,35,4229145
110,I Uber’d People And Let Them Keep The Car,2020-10-24T20:00:01Z,126922613,3919867,0,86495,41,4006362
111,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,219131426,3896011,0,119774,61,4015785
112,Hi Me In 5 Years,2020-10-04T20:00:54Z,122137508,6741936,0,246025,16,6987961
113,"Would You Rather Have A Giant Diamond or $100,000?",2020-09-26T20:40:02Z,161664551,2865521,0,73343,50,2938864
114,"I Gave My 40,000,000th Subscriber 40 Cars",2020-09-19T20:00:02Z,172422057,4483290,0,186750,41,4670040
115,Why I Haven’t Been Uploading,2020-09-17T20:00:05Z,56591213,2769994,0,98543,28,2868537
116,"Get This Random Person 1,000,000 Subscribers",2020-09-05T20:00:17Z,80821375,2584859,0,123352,44,2708211
117,Would YOU Rather Have A Lamborghini or This House?,2020-08-22T20:00:01Z,199264854,3857631,0,153120,50,4010751
118,"Last To Leave $800,000 Island Keeps It",2020-08-15T20:00:02Z,250396413,5499529,0,229731,38,5729260
119,I Bought A Private Island,2020-08-13T20:00:07Z,163159950,3857542,0,130999,25,3988541
120,"I Spent $1,000,000 On Lottery Tickets and WON",2020-08-08T20:00:02Z,132258345,3264505,0,87506,45,3352011
121,I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,254827138,4406109,0,137841,40,4543950
122,I Adopted EVERY Dog In A Dog Shelter,2020-07-23T20:00:11Z,238725274,4940976,0,213681,36,5154657
123,"I Bought The World's Largest Firework ($600,000)",2020-07-03T21:00:20Z,215375264,5194897,0,183503,48,5378400
124,I Broke Into A House,2020-06-25T20:00:00Z,166439097,3573628,0,197129,20,3770757
125,"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13T20:00:01Z,211034947,3776046,0,121229,51,3897275
126,I Built The World's Largest Lego Tower,2020-06-06T20:00:01Z,172565834,3389350,0,77257,38,3466607
127,I Spent 50 Hours In Solitary Confinement,2020-05-30T20:10:08Z,313046779,4975473,0,119494,40,5094967
128,If You Click This Video I'll Give My Friend .001$,2020-05-23T21:01:02Z,206268375,7244134,0,169570,49,7413704
129,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",2020-05-07T19:59:59Z,46135217,1413939,0,66031,60,1479970
130,Videos I Could Not Upload...,2020-04-30T20:00:08Z,154801162,3934115,0,66995,28,4001110
131,I Spent 24 Hours In A Doomsday Bunker,2020-04-11T20:00:00Z,205260831,3278008,0,81731,37,3359739
132,"Giving $1,000,000 Of Food To People In Need",2020-03-27T20:00:05Z,58915797,1928979,0,67792,43,1996771
133,I Ran A Marathon In The World's Largest Shoes,2020-03-21T20:00:02Z,157745795,3458531,0,73121,45,3531652
134,"$70,000 Extreme Hide And Seek - Challenge",2020-03-13T20:00:04Z,137476167,2691790,0,70273,41,2762063
135,Anything You Can Fit In The Circle I’ll Pay For,2020-03-07T21:00:00Z,286330998,5132401,0,116540,47,5248941
136,"I Ate A $70,000 Golden Pizza",2020-02-29T21:00:22Z,249102153,4321757,0,112933,28,4434690
137,"Lamborghini Race, Winner Keeps Lamborghini",2020-02-08T21:00:02Z,135124589,2660264,0,56567,42,2716831
138,I Gave My Credit Card To Random People,2020-02-01T21:00:01Z,183970931,3980900,0,99832,38,4080732
139,I Went Back To Boy Scouts For A Day,2020-01-25T21:00:01Z,120484604,2259971,0,46898,35,2306869
140,"$60,000 Extreme Hide And Seek - Challenge",2020-01-17T21:00:01Z,156337230,2824867,0,51304,41,2876171
141,"How I Gained 15,000,000 Subscribers In 1 Year",2020-01-03T21:10:01Z,19283781,899663,0,41600,45,941263
142,Important Youtube Announcement (please watch),2019-12-28T21:00:06Z,37447756,2445248,0,130558,45,2575806
143,"Giving 10,000 Presents To Kids For Christmas",2019-12-23T21:00:04Z,75111967,3103234,0,175180,44,3278414
144,"Spending $1,000,000 In 24 Hours",2019-12-21T21:00:01Z,184806154,4609869,0,128906,31,4738775
145,"Last To Take Hand Off $1,000,000 Keeps It",2019-12-19T21:00:12Z,137463992,3369038,0,302050,41,3671088
146,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2019-12-14T20:59:57Z,64171853,1470054,0,93529,49,1563583
147,"Last To Leave Toilet Wins $1,000,000 (Part 3)",2019-12-07T21:11:07Z,96967327,1905224,0,50134,45,1955358
148,I Ordered Pizza And Tipped The House,2019-12-05T21:00:02Z,137147632,4239449,0,107407,36,4346856
149,"Last to Stop Swinging Wins $1,000,000 (Part 2)",2019-11-30T21:00:03Z,127754803,2273808,0,82364,46,2356172
150,"$50,000 Game Of Extreme Hide And Seek - Challenge",2019-11-28T21:00:01Z,155604582,3037428,0,52099,49,3089527
151,I Opened A FREE BANK,2019-11-23T21:00:17Z,115989709,2947659,0,96453,20,3044112
152,"Going Around A Ferris Wheel 1,000 Times Straight",2019-11-16T21:00:47Z,116759063,2509969,0,50645,48,2560614
153,"Last To Fall Wins $1,000,000 (Part 1)",2019-11-14T21:00:31Z,156001282,3073207,0,57181,37,3130388
154,Surviving 24 Hours Straight In The Bermuda Triangle,2019-11-09T21:00:55Z,229468249,4185964,0,100631,51,4286595
155,"I Spent $100,000 On Lottery Tickets And Won!",2019-10-31T20:00:02Z,53219389,1359008,0,30722,44,1389730
156,"Planting 20,000,000 Trees, My Biggest Project Ever!",2019-10-25T19:01:01Z,101399507,4420548,0,166589,51,4587137
157,"Last To Take Hand Off Boat, Keeps It",2019-10-19T20:06:01Z,126103010,2093592,0,58963,36,2152555
158,"I Searched 100 Dumpsters, Here's What I Found",2019-10-12T20:10:01Z,191066849,2915468,0,59214,45,2974682
159,"Going Through The Same Drive Thru 1,000 Times",2019-10-05T20:00:08Z,269629432,4919475,0,133214,45,5052689
160,"Donating $100,000 To Random Streamers",2019-09-28T20:29:58Z,62125086,1845518,0,44252,37,1889770
161,Surviving 24 Hours Straight In A Rain Forest,2019-09-21T21:00:00Z,131150869,2584040,0,73887,44,2657927
162,"Last To Leave Ramen Noodle Pool Wins $20,000",2019-09-13T20:00:05Z,73031434,1549104,0,44774,44,1593878
163,"Anything You Can Carry, I'll Pay For #2",2019-09-06T20:00:00Z,71508810,1545905,0,33521,39,1579426
164,"I Gave My Brother 24 Hours To Spend $100,000",2019-08-31T20:00:01Z,99394561,2486282,0,57963,44,2544245
165,I Opened A Free Car Dealership,2019-08-29T20:00:00Z,139634800,3438490,0,139806,30,3578296
166,"Last To Leave Pool Of $20,000 Keeps It",2019-08-24T20:00:01Z,171423910,3233417,0,83338,38,3316755
167,Surviving 24 Hours On A Deserted Island,2019-08-22T20:00:07Z,189024582,3479788,0,80314,39,3560102
168,"Last To Leave Roller Coaster Wins $20,000 - Challenge",2019-08-17T20:00:00Z,152557568,2969200,0,68205,53,3037405
169,I Won Every Prize At A Theme Park,2019-08-15T19:59:59Z,171520645,2959211,0,69287,33,3028498
170,Destroying My Friend's Car And Surprising Him With A New One,2019-08-10T20:00:00Z,109120397,2801715,0,62930,60,2864645
171,I Spent 24 Hours Straight At Area 51,2019-08-02T21:00:01Z,165725002,3748134,0,100657,36,3848791
172,"Can 50,000 Magnets Catch A Cannon Ball?",2019-07-20T20:00:02Z,124117511,2156410,0,47355,39,2203765
173,World's Largest Game Of Dodgeball,2019-07-12T20:05:00Z,82510925,1635389,0,57662,33,1693051
174,"Last To Leave Revolving Door Wins $50,000",2019-07-02T20:00:01Z,155214475,3567557,0,183173,41,3750730
175,Tipping Waitresses With Real Gold Bars,2019-06-21T20:00:01Z,69367560,1813194,0,86646,38,1899840
176,I Opened The World's First FREE Store,2019-06-15T20:00:00Z,89652134,2314347,0,77578,37,2391925
177,Spending 24 Hours On Top Of A Mountain,2019-06-13T20:00:01Z,194652220,3728395,0,116314,38,3844709
178,"Last To Leave VR Wins $20,000",2019-06-08T20:00:01Z,155061480,3197423,0,96172,29,3293595
179,"Last To Stop Running Wins $20,000",2019-06-06T20:00:00Z,114973763,2319552,0,67602,33,2387154
180,"Paying People $10,000 To Eat Ghost Pepper",2019-06-01T20:05:01Z,40457004,1124443,0,35937,41,1160380
181,24 Hours In The Most Haunted Place On Earth,2019-05-30T20:07:01Z,133448963,2973152,0,140510,43,3113662
182,I Bought Everything In A Store - Challenge,2019-05-18T20:05:02Z,152360771,4263434,0,184344,42,4447778
